"ORDER_ID","GOODS_ID","GOODS_NAME","UNIT_PRICE","QUANTITY","RETURN_QTY"
"1109138","3273","米婆婆无醇米酒即饮杯装290ml","2.50","1","0"
"1109139","19916","韩尚袖防水袖套","5.00","1","0"
"1109146","2328","康师傅老坛酸菜牛肉面袋装118g","2.50","3","0"
"1109146","3770","康师傅泡椒牛肉面袋装99g","2.50","3","0"
"1109165","18126","芬达橙味汽水330ml（新）","2.50","2","0"
"1109165","18360","雪碧柠檬味汽水罐装330ml","2.50","2","0"
"1109168","12709","黑人水清新牙膏140g","11.50","1","0"
"1109169","7236","劲仔小鱼卤香味12g","1.00","1","0"
"1109169","3845","乐吧薯片番茄味50g","2.50","1","0"
"1109169","3092","魔法士玩酷系列干脆面泰式辣牛排味/方便面50g","1.50","2","0"
"1109169","2181","康师傅香菇炖鸡面桶装104g","4.00","1","0"
"1109173","3832","回头客华夫饼120g","5.50","1","0"
"1109173","2087","旺旺浪味仙蔬菜口味薯片70g","5.00","2","0"
"1109173","2142","嘉顿威化饼干巧克力味50g","3.00","1","0"
"1109173","3023","旺旺泡芙夹心饼干牛奶味18g","1.00","1","0"
"1109173","11291","奥利奥夹心饼干原味116g","7.00","1","0"
"1109175","3024","旺旺泡芙夹心饼干草莓味18g","1.00","2","0"
"1109175","6269","代跑腿服务（娇子格调黑）","15.00","2","0"
"1109177","4910","五常大米绿色生态米5kg","119.00","1","0"
"1109183","5044","美好火腿肠优级260g","6.50","1","0"
"1109183","6227","白鹤山土鸡蛋 15枚装","18.50","1","0"
"1109195","2182","康师傅香菇炖鸡面袋装100g","2.50","1","0"
"1109195","3127","伊利味可滋巧克力牛奶240ml","4.50","1","0"
"1109199","20242","水磨村汉中香米（大米）10kg","54.00","1","0"
"1109221","2183","康师傅香锅牛肉面桶装124g","4.00","1","0"
"1109221","13088","阿宽重庆小面麻辣小面袋装105克","4.50","1","0"
"1109221","3639","双汇泡面搭档香肠火腿肠90g","2.50","1","0"
"1109227","2843","康师傅红烧牛肉面方便面桶装109g","4.00","1","0"
"1109230","2261","脉动维生素水饮料菠萝口味600ml","4.00","1","0"
"1109230","6020","代跑腿服务（X娇）","10.00","1","0"
"1109231","4512","美好火腿肠优级120g","3.50","1","0"
"1109231","4550","三养火鸡面140g","6.50","1","0"
"1109231","2183","康师傅香锅牛肉面桶装124g","4.00","1","0"
"1109236","3124","农夫山泉茶派（π）蜜桃乌龙茶500ml","5.00","2","0"
"1109236","3028","百事奇多粟米棒奇多日式牛排味60g","3.50","1","0"
"1109236","2187","可比克薯片蕃茄味60g","3.50","1","0"
"1109251","2727","不二家棒棒糖奶茶巧克力味糖果8支装46g","6.00","3","0"
"1109251","3197","不二家清爽型棒棒糖可乐味+柠檬味+香橙味+哈密瓜味糖果50g","6.00","3","0"
"1109251","8097","优你康棒棒糖牛奶双味9g","1.50","1","0"
"1109252","4946","康师傅冰红茶1L","4.50","1","0"
"1109252","3841","劲仔小鱼麻辣小鱼12g","1.00","1","0"
"1109252","5044","美好火腿肠优级260g","6.50","1","0"
"1109252","3029","德芙白巧克力巧克力奶香味条装43g","7.00","1","0"
"1109252","2117","双汇玉米热狗肠香肠火腿肠70g","2.50","1","0"
"1109256","6269","代跑腿服务（娇子格调黑）","15.00","1","0"
"1109260","13521","雪碧清爽柠檬味汽水2L","6.50","1","0"
"1109260","5753","李锦记蒸鱼豉油酿造酱油瓶装410g","12.00","1","0"
"1109260","2098","喜之郎什锦果肉果冻200g","4.00","1","0"
"1109261","2887","卫龙亲嘴烧麦辣鸡汁味辣条22g","0.50","10","0"
"1109262","13521","雪碧清爽柠檬味汽水2L","6.50","1","0"
"1109266","3841","劲仔小鱼麻辣小鱼12g","1.00","1","0"
"1109266","2887","卫龙亲嘴烧麦辣鸡汁味辣条22g","0.50","2","0"
"1109266","3840","劲仔小鱼香辣小鱼12g","1.00","2","0"
"1109266","2043","有友泡椒凤爪泡椒鸡爪210g","10.00","1","0"
"1109266","3073","有友猪皮晶山椒味泡椒味60g","3.00","1","0"
"1109277","4512","美好火腿肠优级120g","3.50","1","0"
"1109277","2887","卫龙亲嘴烧麦辣鸡汁味辣条22g","0.50","10","0"
"1109277","2888","卫龙亲嘴烧川香风味辣条22g","0.50","10","0"
"1109277","2889","卫龙亲嘴烧红烧牛肉味辣条22g","0.50","10","0"
"1109278","6849","继红辣椒果50g","3.50","1","0"
"1109278","4487","金龙鱼非转基因压榨玉米油5L","80.00","1","0"
"1109278","5625","海天蚝油260ml","5.00","1","0"
"1109282","6028","代跑腿服务（软云）","23.00","1","0"
"1109288","4963","可口可乐2L","7.50","1","0"
"1109296","4757","友臣肉松饼35g","1.50","2","0"
"1109296","3351","洽洽焦糖瓜子108g","5.50","1","0"
"1109296","5929","思念中华面点奶香馒头960g","15.00","1","0"
"1109296","7692","卫龙大面筋香辣味65g","2.50","1","0"
"1109296","6448","陈克明玉米风味挂面面条1kg","10.00","1","0"
"1109296","6025","代跑腿服务（软玉）","23.00","1","0"
"1109296","16704","可口可乐汽水888ml","4.50","1","0"
"1109297","5422","龙士达LJ-0148中号浸塑衣架10个装","11.00","2","0"
"1109304","2043","有友泡椒凤爪泡椒鸡爪210g","10.00","1","0"
"1109304","2411","沈师傅鸡蛋干酱香味100g","3.50","1","0"
"1109304","20222","正宗椰树牌椰汁带盖1L（新）","13.50","1","0"
"1109304","3770","康师傅泡椒牛肉面袋装99g","2.50","2","0"
"1109304","4512","美好火腿肠优级120g","3.50","1","0"
"1109306","6026","代跑腿服务（爱喜薄荷）","10.00","1","0"
"1109306","17831","星巴克原味咖啡条装30g","2.00","2","0"
"1109309","4104","RIO3度鸡尾酒水蜜桃味小罐装330ml","6.00","1","0"
"1109317","18753","代跑腿服务（南京）","12.00","1","0"
"1109317","5847","荷氏维果C水果硬糖青柠味34g","2.50","1","0"
"1109319","4948","美年达橙味汽水600ml","2.38","1","0"
"1109319","3868","乐吧薯片麻辣川香味50g","2.00","1","0"
"1109319","4271","怡宝矿泉水纯净水瓶装1.5L","3.00","1","0"
"1109319","3105","甘源牌蟹黄味蚕豆75g","3.50","1","0"
"1109319","2311","老灶煮花生72g","2.00","1","0"
"1109322","4511","美好火腿肠30g","1.00","1","0"
"1109322","2328","康师傅老坛酸菜牛肉面袋装118g","2.50","1","0"
"1109322","4084","乌江凉拌海带丝鲜香味50g","2.00","1","0"
"1109322","5727","吉香居麻辣三丝106g","2.50","1","0"
"1109322","5800","达利熊字饼115g","3.50","1","0"
"1109322","3638","乐事薯片经典原味70g","6.00","1","0"
"1109322","12240","川洋黑米锅巴香葱味30g","1.00","1","0"
"1109322","3859","川洋黑米锅巴麻辣味休闲食品32g","1.00","3","0"
"1109322","3294","菊乐核桃花生奶200ml","2.50","1","0"
"1109322","2326","上好佳鲜虾片40g","4.50","1","0"
"1109323","4628","思念经典大汤圆醇香黑芝麻500g","6.00","1","0"
"1109323","4222","菊乐烧酸奶慢发酵风味发酵乳240g","7.50","1","0"
"1109323","21301","德芙草莓蔓越莓酸奶巧克力42g","9.00","1","0"
"1109333","3362","百事可乐600ml","3.00","1","0"
"1109336","4959","保宁白醋配制食醋480ml","4.50","1","0"
"1109336","7692","卫龙大面筋香辣味65g","2.50","6","0"
"1109347","17413","可口可乐600ml","3.00","1","0"
"1109349","2732","水溶C100柠檬味水饮料445ml","5.00","1","0"
"1109349","2174","康师傅酸辣牛肉面桶装129g","4.00","1","0"
"1109349","3638","乐事薯片经典原味70g","6.00","1","0"
"1109349","4860","咪咪世界点心面碳烧鸡汁味82g","2.50","1","0"
"1109349","5521","伊利尚补坊红枣酸奶160g","3.50","1","0"
