序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
355,851,高鸿股份,大唐高鸿数据网络技术股份有限公司,贵阳市,花溪区,89.76亿,1.87亿,1706,1998-06-09,--,,信息服务,--,企业信息化业务、信息服务业务、IT销售业务
356,852,石化机械,中石化石油机械股份有限公司,武汉市,江夏区,39.94亿,3468.67万,5286,1998-11-26,--,,矿山冶金机械,--,制造、销售石油钻采设备等
357,856,冀东装备,唐山冀东装备工程股份有限公司,唐山市,曹妃甸区,17.65亿,1421.23万,1756,1998-08-13,--,,其他专用机械,--,机械设备与备件、土建安装、维修工程和电气设备与备件
358,858,五粮液,宜宾五粮液股份有限公司,宜宾市,翠屏区,301.87亿,100.86亿,26348,1998-04-27,--,,白酒,--,“五粮液”及其系列白酒的生产和销售
359,859,国风塑业,安徽国风塑业股份有限公司,合肥市,蜀山区,11.73亿,4247.69万,1182,1998-11-19,--,,塑料制品,--,主要生产经营双向拉伸聚丙烯薄膜和双向拉伸聚酯薄膜等包装膜材料和电子信息用膜材料、木塑新材料、工程塑料以及蓝宝石晶片等
360,860,顺鑫农业,北京顺鑫农业股份有限公司,北京市,顺义区,117.34亿,4.42亿,4825,1998-11-04,--,,白酒,--,白酒酿造与销售;种猪繁育、生猪养殖、屠宰及肉制品加工;市场管理与服务;房地产开发。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
361,861,海印股份,广东海印集团股份有限公司,广州市,越秀区,25.61亿,2.95亿,1223,1998-10-28,--,,物业租赁、物业管理,--,商业运营、文化娱乐及互联网金融
362,862,银星能源,宁夏银星能源股份有限公司,银川市,西夏区,9.80亿,-1.88亿,625,1998-09-15,--,,新能源发电,--,新能源发电、新能源装备制造
363,863,三湘印象,三湘印象股份有限公司,上海市,杨浦区,24.74亿,2.25亿,650,1997-09-25,--,,房地产开发,--,房地产开发与经营
364,868,ST安凯,安徽安凯汽车股份有限公司,合肥市,包河区,54.49亿,-2.77亿,2522,1997-07-25,--,,乘用车,--,客车整车、底盘与配件生产及销售
365,869,张裕A,烟台张裕葡萄酿酒股份有限公司,烟台市,芝罘区,49.33亿,10.34亿,2679,2000-10-26,--,,葡萄酒,--,葡萄酒、白兰地、香槟及保健酒的生产和销售
366,875,吉电股份,吉林电力股份有限公司,长春市,南关区,51.02亿,-2.95亿,2788,2002-09-26,--,,火电,--,从事火电、风电、太阳能发电、供热、工业供气的生产和销售。
367,876,新希望,新希望六和股份有限公司,绵阳市,涪城区,625.67亿,29.32亿,70600,1998-03-11,--,,饲料,--,饲料、白羽肉禽、猪养殖、食品
368,877,天山股份,新疆天山水泥股份有限公司,乌鲁木齐市,达坂城区,70.80亿,2.82亿,6924,1999-01-07,--,,水泥,--,水泥、熟料、商品混凝土的生产及销售。
369,878,云南铜业,云南铜业股份有限公司,昆明市,五华区,570.07亿,3.72亿,--,1998-06-02,--,,铜,--,"铜的采选、冶炼,贵金属和稀散金属的提取与加工,硫化工以及贸易"
370,880,潍柴重机,潍柴重机股份有限公司,潍坊市,潍坊市,19.76亿,2348.22万,2817,1998-04-02,--,,内燃机,--,内燃机及配件制造、销售；发电机及发电机组的制造、销售；工程机械制造、销售；机械零部件加工及设备修理；经营规定的进出口业务（需资质证书的凭资质证书开展经营活动）
371,881,中广核技,中广核核技术发展股份有限公司,大连市,西岗区,63.69亿,4.25亿,4427,1998-09-02,--,,综合,--,远洋运输、工程承包、房地产、国际劳务合作、进出口贸易和远洋渔业等业务；线缆用改性高分子材料、改性工程塑料、电子加速器的生产和销售以及辐照加工业务。
372,882,华联股份,北京华联商厦股份有限公司,北京市,通州区,10.96亿,1016.27万,1181,1998-06-16,--,,物业经营,--,购物中心运营管理业务、影院运营管理业务和商业保理
373,883,湖北能源,湖北能源集团股份有限公司,武汉市,武昌区,115.85亿,20.76亿,4085,1998-05-19,--,,火电,--,能源投资、开发与管理
374,885,城发环境,河南城发环境股份有限公司,郑州市,金水区,47.20亿,6.64亿,1568,1999-03-19,--,,水泥,--,"高速公路运营,水务、固体废弃物治理等城市基础设施建设，生活垃圾焚烧发电、市政污水处理、新环卫等环保领域"
375,886,海南高速,海南高速公路股份有限公司,海口市,美兰区,5.83亿,9430.68万,501,1998-01-23,--,,高速公路,--,高等级公路的建设及养护管理，同时在房地产开发销售、旅游服务业的综合开发等方面进行多元化经营
376,887,中鼎股份,安徽中鼎密封件股份有限公司,宣城市,宣城市,117.70亿,11.54亿,19872,1998-12-03,--,,汽车零部件,--,密封件、特种橡胶制品（汽车、摩托车、电器、工程机械、矿山、铁道、石化、航空航天等行业基础元件）的研发、生产、销售与服务
377,888,峨眉山A,峨眉山旅游股份有限公司,乐山市,峨眉山市,10.79亿,1.96亿,2016,1997-10-21,--,,景区,--,峨眉山游山门票服务、索道运营和酒店经营以及相应的旅游商务营业活动等。
378,889,中嘉博创,中嘉博创信息技术股份有限公司,秦皇岛市,海港区,21.07亿,2.29亿,5811,1997-12-18,--,,其他软件服务,--,信息传输和通信网络维护
379,890,*ST胜尔,江苏法尔胜股份有限公司,无锡市,江阴市,20.04亿,1.49亿,414,1999-01-19,--,,金属制品,--,金属制品业务和商业保理业务
380,892,欢瑞世纪,欢瑞世纪联合股份有限公司,重庆市,涪陵区,15.67亿,4.07亿,153,1999-01-15,--,,影视,--,影视剧的制作发行、艺人经纪、游戏及影视周边衍生业务
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
381,893,东凌国际,广州东凌国际投资股份有限公司,广州市,南沙区,15.36亿,-7.73亿,602,1998-12-24,--,,航运,--,钾盐开采、钾肥生产销售业务。
382,895,双汇发展,河南双汇投资发展股份有限公司,漯河市,源汇区,505.75亿,45.11亿,43245,1998-12-10,--,,肉制品,--,畜禽屠宰，肉类食品的加工销售和食品包装
383,897,津滨发展,天津津滨发展股份有限公司,天津市,滨海新区,9.76亿,-1.32亿,--,1999-04-22,--,,房地产开发,--,房地产开发经营及贸易
384,898,鞍钢股份,鞍钢股份有限公司,鞍山市,铁西区,916.83亿,66.45亿,33750,1997-12-25,--,,普钢,--,黑色金属冶炼及钢压延加工。
385,899,赣能股份,江西赣能股份有限公司,南昌市,青山湖区,21.26亿,1645.01万,746,1997-11-26,--,,火电,--,火力、水力发电
386,900,现代投资,现代投资股份有限公司,长沙市,天心区,105.93亿,8.46亿,3498,1999-01-28,--,,高速公路,--,高速公路收费业务
387,901,航天科技,航天科技控股集团股份有限公司,哈尔滨市,平房区,58.02亿,1.81亿,6435,1999-04-01,--,,仪器仪表,--,从事汽车电子、环保监测产品、航天产品、光机电测控及电网配套设备的研发、生产和销售等。
388,902,新洋丰,新洋丰农业科技股份有限公司,荆门市,荆门市,90.32亿,6.92亿,7092,1999-04-08,--,,复合肥,--,磷复肥、新型肥料的研发、生产和销售，以及现代农业产业解决方案提供业务
389,903,云内动力,昆明云内动力股份有限公司,昆明市,官渡区,59.10亿,2.60亿,2605,1999-04-15,--,,汽车零部件,--,为发动机业务和工业级电子产品业务
390,905,厦门港务,厦门港务发展股份有限公司,厦门市,湖里区,137.13亿,1.79亿,4887,1999-04-29,--,,港口,--,以港口为依托的综合物流业务以及件散杂货、内贸集装箱的装卸、堆存、仓储、助轮船靠离泊以及贸易、建材等业务
391,906,浙商中拓,浙商中拓集团股份有限公司,长沙市,芙蓉区,484.07亿,1.79亿,1788,1999-07-07,--,,贸易,--,供应链集成服务
392,908,景峰医药,湖南景峰医药股份有限公司,岳阳市,平江县,25.84亿,1.85亿,3055,1999-02-03,--,,化学制剂,--,医药产品的研发、制造与销售。
393,909,数源科技,数源科技股份有限公司,杭州市,西湖区,26.64亿,6985.23万,443,1999-05-07,--,,贸易,--,电子信息类产品的研制与销售、房地产开发、商品贸易等三类业务。
394,910,大亚圣象,大亚圣象家居股份有限公司,镇江市,丹阳市,70.48亿,7.37亿,6463,1999-06-30,--,,家具制造,--,人造板和木地板的生产和销售
395,911,ST南糖,南宁糖业股份有限公司,南宁市,青秀区,29.06亿,-1.98亿,4030,1999-05-27,--,,制糖,--,从事机制糖的生产与销售业务
396,912,泸天化,四川泸天化股份有限公司,成都市,成都市,37.35亿,-14.89亿,2870,1999-06-03,--,,氮肥,--,生产、销售各类化肥、化工产品
397,913,钱江摩托,浙江钱江摩托股份有限公司,台州市,温岭市,27.16亿,7850.40万,4004,1999-05-14,--,,摩托车,--,摩托车及配件的生产和销售
398,915,山大华特,山东山大华特科技股份有限公司,临沂市,沂南县,17.67亿,4.51亿,2886,1999-06-09,--,,化学制剂,--,环保、医药产业
399,916,华北高速,华北高速公路股份有限公司,北京市,大兴区,10.02亿,3.97亿,996,1999-09-27,--,,高速公路,主营业务:投资经营收费公路和光伏电站,投资经营收费公路和光伏电站
400,917,电广传媒,湖南电广传媒股份有限公司,长沙市,开福区,87.41亿,-2.36亿,11094,1999-03-25,--,,有线电视,--,从事影视节目制作、引进、发行、交换、译制，广告代理、策划、制作，信息传播等服务项目，经过多年的发展，公司主营业务形成了以有线电视网络与创投业务为核心，广告代理、影视节目内容制作、旅游、酒店与房地产业务为辅的产业布局。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
401,918,嘉凯城,嘉凯城集团股份有限公司,杭州市,上城区,12.59亿,18.93亿,2331,1999-07-20,--,,房地产开发,--,房地产开发与经营
402,919,金陵药业,金陵药业股份有限公司,南京市,栖霞区,31.92亿,1.73亿,4767,1999-11-18,--,,化学制剂,--,药品制造和医康养服务
403,920,南方汇通,南方汇通股份有限公司,贵阳市,白云区,10.83亿,1.27亿,1333,1999-06-16,--,,其他化学制品,--,复合反渗透膜业务、棕纤维业务、水处理业务。
404,921,海信家电,海信家电集团股份有限公司,佛山市,顺德区,334.88亿,20.72亿,34500,1999-07-13,--,,冰箱、洗衣机、空调,--,集生产冰箱、家用空调、中央空调、洗衣机、厨房电器、环境电器、商用冷链等产品于一体的综合电器产品制造
405,922,佳电股份,哈尔滨电气集团佳木斯电机股份有限公司,佳木斯市,前进区,15.88亿,1.21亿,1811,1999-06-18,--,,电机,--,防爆电机、起重及冶金电机、局部扇风机、屏蔽电机的生产与销售
406,923,河钢资源,河钢资源股份有限公司,张家口市,宣化区,54.01亿,4.48亿,4040,1999-07-14,--,,工程机械,--,"铜矿、蛭石矿的开发、运营,以及自产矿产品的加工、销售和服务"
407,925,众合科技,浙江众合科技股份有限公司,杭州市,滨江区,20.86亿,1.22亿,1747,1999-06-11,--,,轨道交通设备,--,从事与轨道交通、环保、节能相关的业务。
408,926,福星股份,湖北福星科技股份有限公司,孝感市,汉川市,116.59亿,11.96亿,3458,1999-06-18,--,,房地产开发,--,房地产业和金属制品业。
409,927,*ST夏利,天津一汽夏利汽车股份有限公司,天津市,西青区,14.51亿,-16.40亿,2293,1999-07-27,--,,乘用车,--,从事汽车整车的制造和销售。
410,928,中钢国际,中钢国际工程技术股份有限公司,吉林市,昌邑区,80.46亿,4.38亿,1884,1999-03-12,--,,专业工程,--,工程技术服务和设备集成及备品备件供应业务
411,929,兰州黄河,兰州黄河企业股份有限公司,兰州市,七里河区,5.96亿,1264.06万,1390,1999-06-23,--,,啤酒,--,啤酒、麦芽、饮料的生产、加工和销售业务
412,930,中粮科技,中粮生物科技股份有限公司,蚌埠市,禹会区,158.92亿,9.63亿,10171,1999-07-12,--,,燃料乙醇,--,燃料乙醇、柠檬酸、赖氨酸、乳酸、环氧乙烷、食用油、饲料等业务
413,931,中关村,北京中关村科技发展(控股)股份有限公司,北京市,海淀区,17.40亿,4356.48万,2255,1999-07-12,--,,综合,--,生物医药、个人护理用品、房地产及建筑和其他业务
414,932,华菱钢铁,湖南华菱钢铁股份有限公司,长沙市,天心区,767.11亿,52.95亿,24366,1999-08-03,--,,普钢,--,钢坯、无缝钢管、线材、螺纹钢、热轧超薄带钢卷、冷轧板卷、镀锌板、中小型材、热轧中板等黑色和有色金属产品的生产和经营;兼营外商投资企业获准开展的相关附属产品。
415,933,神火股份,河南神火煤电股份有限公司,商丘市,永城市,188.99亿,3.06亿,26323,1999-08-31,--,,铝,--,煤炭生产、销售、洗选加工；电解铝、铝合金、铝型材及延伸产品的生产、加工、销售等业务
416,935,四川双马,四川双马水泥股份有限公司,绵阳市,江油市,27.48亿,2.47亿,638,1999-08-24,--,,水泥,--,水泥生产和销售
417,936,华西股份,江苏华西村股份有限公司,无锡市,江阴市,28.42亿,2.06亿,941,1999-08-10,--,,涤纶,--,涤纶化纤的研发、生产和销售，石化物流仓储，投资并购和资产管理
418,937,冀中能源,冀中能源股份有限公司,邢台市,桥西区,203.82亿,10.90亿,39806,1999-09-09,--,,煤炭开采洗选,--,煤炭、化工、电力、建材四大板块
419,938,紫光股份,紫光股份有限公司,北京市,海淀区,390.72亿,26.20亿,14484,1999-11-04,--,,PC、服务器及硬件,--,自有品牌产品、系统集成及IT服务和增值分销业务。
420,939,*ST凯迪,凯迪生态环境科技股份有限公司,武汉市,江夏区,54.74亿,-66.95亿,4212,1999-09-23,--,,新能源发电,--,绿色能源业务、环保发电、原煤销售
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
421,948,南天信息,云南南天电子信息产业股份有限公司,昆明市,五华区,23.16亿,2185.80万,5916,1999-10-14,--,,专用计算机设备,--,软件业务、信息产品业务、系统集成业务
422,949,新乡化纤,新乡化纤股份有限公司,新乡市,凤泉区,41.07亿,3063.03万,9218,1999-10-21,--,,粘胶纤维,--,粘胶长丝、粘胶短纤维和氨纶纤维的生产与销售
423,950,重药控股,重药控股股份有限公司,重庆市,涪陵区,230.45亿,11.53亿,8109,1999-09-16,--,,氮肥,--,医药流通业务
424,951,中国重汽,中国重汽集团济南卡车股份有限公司,济南市,市中区,373.10亿,11.72亿,7786,1999-11-25,--,,商用车,--,重型载重汽车、专用汽车、重型专用车底盘、客车底盘、汽车配件的制造及销售业务。
425,952,广济药业,湖北广济药业股份有限公司,黄冈市,武穴市,8.02亿,1.06亿,--,1999-11-12,--,,化学原料药,--,生产经营医药原料药、医药制剂、食品添加剂、饲料添加剂，出口本企业自产的各类药
426,953,*ST河化,广西河池化工股份有限公司,河池市,河池市,2.21亿,2946.24万,200,1999-12-02,--,,氮肥,--,化肥产品的生产与销售
427,955,欣龙控股,欣龙控股(集团)股份有限公司,澄迈县,澄迈县,6.32亿,4447.29万,889,1999-12-09,--,,家纺,--,从事非织造材料、磷化工业务
428,957,中通客车,中通客车控股股份有限公司,聊城市,东昌府区,78.52亿,1.91亿,5039,2000-01-13,--,,商用车,--,以客车为主兼顾零部件产品的开发、制造和销售。
429,958,东方能源,国家电投集团东方新能源股份有限公司,石家庄市,裕华区,26.45亿,1.08亿,2816,1999-12-23,--,,其他发电,--,清洁能源发电及热电联产等业务外，还将涵盖财务公司、保险经纪、信托、期货、保险等多项金融业务。
430,959,首钢股份,北京首钢股份有限公司,北京市,石景山区,602.44亿,31.07亿,17765,1999-12-16,--,,普钢,--,钢铁冶炼、钢压延加工、技术开发、技术咨询、技术转让、技术服务、技术培训
431,960,锡业股份,云南锡业股份有限公司,昆明市,五华区,344.10亿,8.95亿,15482,2000-02-21,--,,锡,--,有色金属锡及其深加工产品的生产和销售业务
432,961,中南建设,江苏中南建设集团股份有限公司,南通市,海门市,305.52亿,6.22亿,42974,2000-03-01,--,,专业工程,--,房地产开发和建筑施工
433,962,东方钽业,宁夏东方钽业股份有限公司,石嘴山市,大武口区,9.45亿,-3.80亿,1158,2000-01-20,--,,其他金属新材料,--,钽、铌、铍、钛、镁等有色金属材料的生产、加工、开发、科研与销售、进出口业务
434,963,华东医药,华东医药股份有限公司,杭州市,下城区,278.32亿,18.88亿,12118,2000-01-27,--,,医药商业,--,"化学药、中药的原料药和制剂的生产销售,以及中西成药、中药材、医疗器械、健康产品等的经营"
435,965,天保基建,天津天保基建股份有限公司,天津市,东丽区,18.46亿,4.11亿,123,2000-04-06,--,,房地产开发,--,房地产开发和基础设施建设。
436,966,长源电力,国电长源电力股份有限公司,武汉市,洪山区,54.64亿,-1.22亿,3109,2000-03-16,--,,火电,--,电力、热力、煤炭生产和销售
437,967,盈峰环境,盈峰环境科技集团股份有限公司,绍兴市,上虞区,88.86亿,7.74亿,7146,2000-03-30,--,,电工机械制造,--,智慧环卫、环境监测及固废处理等其他业务。
438,968,蓝焰控股,山西蓝焰控股股份有限公司,太原市,万柏林区,19.04亿,4.75亿,2138,2000-06-22,--,,煤炭开采洗选,--,煤矿瓦斯治理及煤层气勘探、开发与利用业务
439,969,安泰科技,安泰科技股份有限公司,北京市,海淀区,46.60亿,4777.04万,5565,2000-05-29,--,,其他金属新材料,--,先进金属材料的研发、生产与销售，包括能源用先进材料及制品，特种材料制品及装备，超硬材料及工具三个领域
440,970,中科三环,北京中科三环高技术股份有限公司,北京市,海淀区,38.95亿,3.34亿,5117,2000-04-20,--,,磁性材料,--,从事钕铁硼稀土永磁材料和新型磁性材料及其应用产品的研究开发、生产和销售
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
441,971,*ST高升,高升控股股份有限公司,仙桃市,仙桃市,8.68亿,1.57亿,902,2000-04-27,--,,云服务(含IDC、CDN),--,以IDC(互联网数据中心)、CDN(内容分发网络)、APM(应用性能管理)为主的互联网基础云服务
442,972,ST中基,中基健康产业股份有限公司,乌鲁木齐市,天山区,5.18亿,9012.70万,67,2000-09-26,--,,番茄加工,--,大包装浓缩番茄酱；去皮番茄和番茄丁、小罐番茄制品；番茄红素胶囊、番茄纤维片生产及销售
443,973,佛塑科技,佛山佛塑科技集团股份有限公司,佛山市,禅城区,25.12亿,1.18亿,3414,2000-05-25,--,,塑料制品,--,各类塑料制品、粘胶制品、各类包装及印刷复合制品和塑料加工设备、模具的制造等。
444,975,银泰黄金,银泰黄金股份有限公司,锡林郭勒盟,西乌珠穆沁旗,22.27亿,5.09亿,1528,2000-06-08,--,,铅锌,--,贵金属和有色金属矿采选及金属贸易
445,976,华铁股份,广东华铁通达高铁装备股份有限公司,江门市,开平市,17.38亿,4.94亿,864,2000-06-01,--,,轨道交通设备,--,轨道交通装备制造
446,977,浪潮信息,浪潮电子信息产业股份有限公司,济南市,历下区,254.88亿,4.24亿,5469,2000-06-08,--,,PC、服务器及硬件,--,服务器等云计算基础设施产品的研发、生产、销售
447,978,桂林旅游,桂林旅游股份有限公司,桂林市,象山区,5.56亿,3786.05万,2507,2000-05-18,--,,景区,--,游船客运、景区旅游业务、酒店、公路旅行客运、出租车业务等。
448,979,中弘退,中弘控股股份有限公司,宿州市,埇桥区,10.16亿,-25.37亿,987,2000-06-16,--,,房地产开发,主营业务:房地产的开发和经营,房地产的开发和经营
449,980,*ST众泰,众泰汽车股份有限公司,黄山市,歙县,208.04亿,12.57亿,8098,2000-06-16,--,,乘用车,--,汽车整车
450,981,*ST银亿,银亿股份有限公司,兰州市,城关区,127.03亿,16.64亿,10750,2000-06-22,--,,房地产开发,--,房地产开发和销售；汽车被动安全系统核心零部件业务。
451,982,*ST中绒,宁夏中银绒业股份有限公司,银川市,灵武市,27.97亿,4699.33万,2030,2000-07-06,--,,纺织面料,--,羊绒、羊毛、亚麻及其混纺类纺织品的生产及销售
452,983,西山煤电,山西西山煤电股份有限公司,太原市,万柏林区,286.55亿,18.38亿,26631,2000-07-26,--,,煤炭开采洗选,--,煤炭生产、洗选加工、电力生产及销售;矿山开发及设计施工;矿用电力器材生产、经营
453,985,大庆华科,大庆华科股份有限公司,大庆市,大庆市,15.30亿,4815.51万,633,2000-07-26,--,,其他化学制品,--,精细石油化工产品，药品及保健品的生产及销售
454,987,越秀金控,广州越秀金融控股集团股份有限公司,广州市,天河区,53.31亿,8.60亿,2919,2000-07-18,--,,其他非银行金融,--,不良资产管理、融资租赁、私募基金管理和资本投资等业务。
455,988,华工科技,华工科技产业股份有限公司,武汉市,江夏区,44.81亿,3.21亿,6771,2000-06-08,--,,电子零部件,--,激光技术及其应用
456,989,九芝堂,九芝堂股份有限公司,长沙市,岳麓区,37.97亿,7.12亿,4313,2000-06-28,--,,中药生产,--,从事中成药、生物药品的研制、生产、销售及药品的批发、零售业务及心脑血管疾病类药物的研发、生产和销售业务。
457,990,诚志股份,诚志股份有限公司,南昌市,青山湖区,56.95亿,7.86亿,4516,2000-07-06,--,,其他化学制品,--,生命科技与医药、显示材料与化工、医疗技术产品和服务
458,993,闽东电力,福建闽东电力股份有限公司,宁德市,蕉城区,9.01亿,2206.75万,1873,2000-07-31,--,,水电,--,电力生产与开发，并在电力为主的基础上进行相关多元投资。
459,995,*ST皇台,甘肃皇台酒业股份有限公司,武威市,凉州区,4760.51万,-1.88亿,377,2000-08-07,--,,白酒,--,白酒、葡萄酒的生产、批发零售
460,996,中国中期,中国中期投资股份有限公司,北京市,朝阳区,6092.86万,3025.62万,70,2000-07-18,--,,汽车服务,--,汽车服务业务、物流等综合服务业务、现货贸易业务
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
461,997,新大陆,新大陆数字技术股份有限公司,福州市,马尾区,49.20亿,6.79亿,6224,2000-08-07,--,,专用计算机设备,--,计算机应用产品的研、产、销及服务。
462,998,隆平高科,袁隆平农业高科技股份有限公司,长沙市,芙蓉区,31.90亿,8.92亿,--,2000-12-11,--,,种子,--,农作物高科技种子及种苗的研发、繁育、推广及服务
463,999,华润三九,华润三九医药股份有限公司,深圳市,宝安区,111.20亿,13.26亿,14914,2000-03-09,--,,中药生产,--,医药产品的研发、生产、销售及相关健康服务。
464,1696,宗申动力,重庆宗申动力机械股份有限公司,重庆市,巴南区,51.97亿,3.37亿,6325,1997-03-06,--,,汽车零部件,--,生产、销售摩托车发动机及零配件
465,1872,招商港口,招商局港口集团股份有限公司,广东,深圳市,75.45亿,54.38亿,15060,1993-05-05,--,,--,--,从事集装箱和散杂货的港口装卸、仓储、运输及其它配套服务
466,1896,豫能控股,河南豫能控股股份有限公司,郑州市,金水区,87.60亿,2616.20万,2834,1998-01-22,--,,火电,--,"火电项目的投资管理,同时涉足新能源项目投资建设、煤炭物流、环境保护和发电机组检修等业务"
467,1914,招商积余,招商局积余产业运营服务股份有限公司,--,--,58.93亿,-3472.81万,39242,1994-09-28,--,,--,--,物业资产管理业务
468,1965,招商公路,招商局公路网络科技控股股份有限公司,北京市,北京市,53.41亿,40.19亿,5204,2017-12-25,--,,--,--,公路相关的经营收费公路业务和交通科技业务
469,1979,招商蛇口,招商局蛇口工业区控股股份有限公司,深圳市,南山区,759.38亿,154.41亿,49014,2015-12-30,--,,房地产开发,--,园区开发与运营、社区开发与运营、邮轮产业建设与运营
470,2001,新和成,浙江新和成股份有限公司,绍兴市,新昌县,62.35亿,17.14亿,9971,2004-06-25,--,,化学原料药,--,从事营养品、香精香料、高分子复合新材料和原料药的生产和销售
471,2002,鸿达兴业,鸿达兴业股份有限公司,扬州市,广陵区,65.41亿,10.13亿,5401,2004-06-25,--,,其他化学制品,--,聚氯乙烯、烧碱、纯碱、电石等基础化工产品及PVC下游制品；土壤调理剂、电石、环保脱硫剂等；稀土精粉、碳酸稀土、稀土分离产品的生产、销售；电子交易服务、物流服务等；氢气的生产、销售及综合应用，储氢技术及储氢装备的研究、开发及应用；制氢、储氢、氢液化和加注氢产品的研发、销售和技术咨询；加氢站的投资、设计、施工；储氢、氢液化、加注氢业务。
472,2003,伟星股份,浙江伟星实业发展股份有限公司,台州市,临海市,26.24亿,4.09亿,8741,2004-06-25,--,,服饰辅料,--,从事各类中高档服饰辅料产品的研发、生产与销售
473,2004,华邦健康,华邦生命健康股份有限公司,重庆市,渝北区,91.83亿,5.89亿,12050,2004-06-25,--,,农药,--,以医药、农化、原料药研发、生产销售为主体的，揽括旅游、投资
474,2005,*ST德豪,安徽德豪润达电气股份有限公司,珠海市,香洲区,42.03亿,-9.66亿,7176,2004-06-25,--,,LED,--,家用小电器系列产品和LED系列产品的研究、开发、制造、销售
475,2006,精功科技,浙江精功科技股份有限公司,绍兴市,柯桥区,9.50亿,9413.68万,1187,2004-06-25,--,,其他专用机械,--,从事太阳能光伏专用装备、新型建筑节能专用设备、轻纺专用设备、碳纤维及复合材料装备、机器人及智能装备等高新技术产品的研制开发、生产销售和技术服务以及精密加工制造。
476,2007,华兰生物,华兰生物工程股份有限公司,新乡市,新乡市,23.68亿,8.04亿,2417,2004-06-25,--,,生物医药,--,血液制品、疫苗、基因工程产品研发、生产和销售。
477,2008,大族激光,大族激光科技产业集团股份有限公司,深圳市,南山区,115.60亿,17.11亿,13005,2004-06-25,--,,电子零部件,--,激光加工设备的研发、生产及销售
478,2009,天奇股份,天奇自动化工程股份有限公司,无锡市,惠山区,24.58亿,9353.36万,2847,2004-06-29,--,,智能装备,--,自动化装备产业、风电产业及汽车循环产业
479,2010,传化智联,传化智联股份有限公司,杭州市,萧山区,192.80亿,5.40亿,5972,2004-06-29,--,,印染化学品,--,传化网智能物流业务与化工业务
480,2011,盾安环境,浙江盾安人工环境股份有限公司,绍兴市,诸暨市,82.79亿,8191.91万,10262,2004-07-05,--,,制冷配件,--,制冷配件、制冷设备的研发、生产和销售，以及提供节能服务系统解决方案。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
481,2012,凯恩股份,浙江凯恩特种材料股份有限公司,丽水市,遂昌县,10.28亿,4172.94万,1072,2004-07-05,--,,造纸,--,生产工业配套用纸、特种食品包装用纸、过滤纸等特种纸
482,2013,中航机电,中航工业机电系统股份有限公司,襄阳市,樊城区,111.81亿,7.35亿,31401,2004-07-05,--,,航空装备,--,航空产业、车船载产业、制冷及医疗器械产业和电力电气装备
483,2014,永新股份,黄山永新股份有限公司,黄山市,徽州区,20.08亿,2.11亿,2050,2004-07-08,--,,包装印刷,--,从事彩印复合包装产品和真空镀铝膜产品的生产和销售。
484,2015,协鑫能科,协鑫能源科技股份有限公司,无锡市,江阴市,4.10亿,865.13万,2893,2004-07-08,--,,涤纶,--,清洁能源发电、热电联产及综合能源服务。
485,2016,世荣兆业,广东世荣兆业股份有限公司,珠海市,斗门区,31.05亿,9.11亿,929,2004-07-08,--,,房地产开发,--,房地产开发经营
486,2017,东信和平,东信和平科技股份有限公司,珠海市,香洲区,11.90亿,3744.67万,1781,2004-07-13,--,,通信终端设备,--,生产和销售通信智能卡、金融卡、社保卡、非接触式智能卡及配套应用系统等产品和服务。
487,2018,华信退,安徽华信国际控股股份有限公司,马鞍山市,马鞍山市,167.79亿,-30.60亿,53,2004-07-13,--,,石油天然气贸易,"主营业务:农药生产与销售和化肥大单业务,成品油贸易与液化气销售与运输,保理业务。","农药生产与销售和化肥大单业务,成品油贸易与液化气销售与运输,保理业务。"
488,2019,亿帆医药,亿帆医药股份有限公司,杭州市,临安区,43.73亿,12.66亿,4295,2004-07-13,--,,生物医药,--,药品、医药原料药及高分子材料的研发、生产与销售
489,2020,京新药业,浙江京新药业股份有限公司,绍兴市,新昌县,22.19亿,2.67亿,3000,2004-07-15,--,,化学原料药,--,化学制剂、传统中药、生物制剂、化学原料药、医疗器械的研发、生产及销售。
490,2021,ST中捷,中捷资源投资股份有限公司,台州市,玉环县,10.02亿,-9459.83万,974,2004-07-15,--,,纺织服装机械,--,工业缝纫机的销售
