Ranking,University Name,Country/Region,Academic Reputation,Employer Reputation,Faculty Student,International Faculty,International Students,Citations per Faculty,Overall Score,Free
474,天主教大学Pontificia Universidad Católica del Perú,Peru,36.5,56.3,19.2,7,2.3,1.7,25.0,免费评估
474,德里大学University of Delhi,India,37.1,43.7,12.1,1.7,1.8,15.6,25.0,免费评估
477,新加坡管理大学Singapore Management University,Singapore,14.5,25.8,15.7,100,67.8,24.3,24.9,免费评估
478,斯特林大学University of Stirling,United Kin,10.6,10.6,21.1,75.9,65.3,40.7,24.8,免费评估
478,德国基尔大学Christian-Albrechts-University zu Kiel,Germany,18.0,4.7,55.1,11.6,12.7,24.1,24.8,免费评估
480,波哥大哥伦比亚Universidad Externado de Colombia,Colombia,8.9,39.0,79.8,16.9,2.2,1.0,24.7,免费评估
480,华南理工大学South China University of Technology,China,12.1,3.9,21.2,13.5,4.3,71.3,24.7,免费评估
482,国油大学Universiti Teknologi Petronas (Petronas),Malaysia,12.6,26.2,35.5,82.2,30.1,20.9,24.6,免费评估
482,圣保罗州立大学UNESP,Brazil,31.2,15.5,35.5,5.9,2.2,14.7,24.6,免费评估
484,长庚大学Chang Gung University,Taiwan,3.8,4.5,59.3,3.7,8.1,50.2,24.5,免费评估
484,堪培拉大学University of Canberra,Australia,15.5,12.6,5.2,95.5,68.7,38.7,24.5,免费评估
484,亚伯大学Aberystwyth University,United Kin,9.9,6.0,28.0,59.8,57.3,42.1,24.5,免费评估
484,吉林大学Jilin University,China,16.6,12.6,53.1,13.9,3,25.2,24.5,免费评估
484,韦恩州立大学Wayne State University,United Sta,9.8,3.8,72.6,18.5,13.3,20.1,24.5,免费评估
489,阿米尔卡比尔理工大学Amirkabir University of Technology,"Iran, Isla",4.7,15.0,7.4,7,2.6,94.9,24.4,免费评估
489,智利圣地亚哥大学Universidad de Santiago de Chile (USACH),Chile,35.6,60.2,13.1,8.2,2.2,4.7,24.4,免费评估
491,印度理工學院瓜哈提校区Indian Institute of Technology Guwahati (IITG),India,11.7,15.2,18.7,-,1.5,71.2,24.3,免费评估
491,南哈萨克斯坦州立大学Auezov South Kazakhstan State University (SKSU),Kazakhstan,7.0,6.1,94.1,17.1,17.7,1.0,24.3,免费评估
491,艾克斯-马赛大学Aix-Marseille University,France,33.9,4.9,13.5,23.6,26.6,25.0,24.3,免费评估
491,哈尔科夫国立大学V. N. Karazin Kharkiv National University,Ukraine,10.8,11.4,72.2,1.3,78.4,1.8,24.3,免费评估
491,拉赫蒂理工大学Lappeenranta-Lahti University of Technology LUT,Finland,6.6,17.2,23.6,49.4,28.6,56.3,24.3,免费评估
491,蒙得维的亚大学Universidad de Montevideo (UM),Uruguay,13.4,17.3,79.1,18.1,3.7,1.3,24.3,免费评估
491,特拉华大学University of Delaware,United Sta,11.0,10.2,11.6,39.3,22.5,67.1,24.3,免费评估
498,蒙彼利埃大学Université de Montpellier,France,20.3,18.8,13.1,20.1,39.3,42.8,24.2,免费评估
498,布拉格捷克理工大学Czech Technical University in Prague,Czech Repu,18.7,39.7,33.9,18.2,57.5,10.6,24.2,免费评估
498,东芬兰大学University of Eastern Finland,Finland,14.5,10.5,43.8,27.9,9.1,33.5,24.2,免费评估
