Ranking,University Name,Country/Region,Academic Reputation,Employer Reputation,Faculty Student,International Faculty,International Students,Citations per Faculty,Overall Score,Free
97,南安普顿大学University of Southampton,United Kin,50.8,52.5,59.0,96.1,92.8,68.1,60.6,免费评估
98,瑞典皇家理工学院KTH Royal Institute of Technology,Sweden,47.5,68.4,63.0,96.9,48.7,72.8,60.5,免费评估
98,波士顿大学Boston University,United Sta,63.1,57.5,53.8,33.8,88.6,62.1,60.5,免费评估
100,圣安德鲁斯大学University of St Andrews,United Kin,45.2,51.6,65.3,98.7,99.8,67.4,59.9,免费评估
101,俄亥俄州立大学哥伦布分校Ohio State University,United Sta,63.8,67.3,66.7,81.1,27.6,41.3,59.5,免费评估
102,埃因霍芬理工大学Eindhoven University of Technology,Netherland,30.9,65.9,62.5,98.3,57.5,97.1,58.9,免费评估
103,墨西哥国立自治大学Universidad Nacional Autónoma de México (UNAM),Mexico,90.9,91.0,57.6,13.8,4.3,3.8,58.8,免费评估
104,延世大学Yonsei University,South Kore,62.9,78.3,85.0,15.4,33.1,30.6,58.7,免费评估
104,"加州大学戴维斯分校University of California,Davis",United Sta,70.3,33.9,23.3,65.3,60.6,80.4,58.7,免费评估
106,阿德莱德大学The University of Adelaide,Australia,59.3,43.7,28.5,99,99.1,73.7,58.6,免费评估
107,赫尔辛基大学University of Helsinki,Finland,64.5,54.8,66.8,58.1,6.8,51.5,58.4,免费评估
108,圣路易斯华盛顿大学Washington University in St Louis,United Sta,43.8,18.8,99.8,78.9,59.3,59.2,58.3,免费评估
108,"都柏林圣三一学院Trinity College Dublin, The University of Dublin",Ireland,62.0,51.2,35.8,99.5,93.5,56.8,58.3,免费评估
110,日内瓦大学University of Geneva,Switzerlan,51.1,23.7,52.6,100,97.8,73.6,58.1,免费评估
111,普渡大学西拉法叶校区Purdue University,United Sta,63.8,68.9,30.9,97.1,61.1,55.6,57.8,免费评估
112,丹麦技术大学Technical University of Denmark,Denmark,30.5,27.1,99.9,99.5,83,65.9,57.4,免费评估
113,阿尔伯塔大学University of Alberta,Canada,58.0,41.4,57.0,91.6,80.8,48.8,57.3,免费评估
114,格罗宁根大学University of Groningen,Netherland,50.6,24.5,67.9,90.9,94.6,51.8,56.1,免费评估
115,名古屋大学Nagoya University,Japan,60.5,38.6,90.6,17.7,21.3,37.3,55.8,免费评估
116,乌普萨拉大学Uppsala University,Sweden,65.8,32.6,46.2,65.5,37.1,56.9,55.5,免费评估
116,圣保罗大学Universidade de S?o Paulo,Brazil,88.3,73.3,25.2,8.9,3.7,35.2,55.5,免费评估
118,莱顿大学Leiden University,Netherland,67.6,30.5,29.7,81,47,64.1,55.4,免费评估
119,奥斯陆大学University of Oslo,Norway,52.6,22.3,77.7,87.2,30.5,49.2,54.7,免费评估
120,南京大学Nanjing University,China,60.7,30.3,31.0,68.6,11.1,84.2,54.5,免费评估
120,柏林洪堡大学Humboldt-Universit?t zu Berlin,Germany,88.3,54.0,12.2,52.9,34.6,33.9,54.5,免费评估
120,乌得勒支大学Utrecht University,Netherland,62.8,32.3,42.5,56.7,28.1,66.0,54.5,免费评估
123,伯尔尼大学University of Bern,Switzerlan,30.3,38.2,63.7,100,46.6,90.6,54.3,免费评估
124,"卡尔斯鲁厄理工学院KIT, Karlsruhe Institute of Technology",Germany,46.3,88.9,29.5,60,64.3,72.6,54.2,免费评估
125,瓦格宁根大学Wageningen University & Research,Netherland,37.4,22.0,95.6,38.6,82.1,57.7,54.0,免费评估
126,伦敦大学玛丽皇后学院Queen Mary University of London,United Kin,52.6,41.9,34.4,98.5,97.9,58.8,53.9,免费评估
127,智利天主教大学Pontificia Universidad Católica de Chile (UC),Chile,85.2,95.5,28.6,19.4,4.2,13.6,53.4,免费评估
128,兰卡斯特大学Lancaster University,United Kin,40.4,27.0,52.5,94.5,97.3,70.6,53.2,免费评估
129,南加州大学University of Southern California,United Sta,58.5,60.0,28.7,21.7,75,64.5,53.1,免费评估
130,根特大学Ghent University,Belgium,51.9,31.7,84.2,65.2,20.1,39.0,53.0,免费评估
130,德国柏林自由大学Freie Universitaet Berlin,Germany,80.2,49.0,5.4,62.8,49.4,46.0,53.0,免费评估
132,九州大学Kyushu University,Japan,55.5,49.2,85.6,18.6,21.5,32.6,52.9,免费评估
132,北海道大学Hokkaido University,Japan,56.3,47.1,84.4,20,15,34.2,52.9,免费评估
134,阿尔托大学Aalto University,Finland,40.1,47.4,55.6,90.1,37.4,69.9,52.4,免费评估
135,"加州大学University of California, Santa Barbara",United Sta,62.5,20.1,14.8,69.1,29.6,86.2,52.3,免费评估
136,马里兰大学帕克分校University of Maryland-College Park,United Sta,54.1,34.8,50.9,26.4,26.5,70.0,52.1,免费评估
137,蒙特利尔大学University of Montreal,Canada,55.2,55.5,55.4,91.1,61.8,27.5,52.0,免费评估
138,亚琛工业大学RWTH Aachen University,Germany,55.3,97.2,13.0,42.4,68.2,59.0,51.9,免费评估
139,中央理工-高等电力学院CentraleSupélec,France,15.8,100.0,88.7,72.1,90.1,45.4,51.4,免费评估
140,麦克马斯特大学McMaster University,Canada,40.4,42.5,85.0,97.9,45.1,32.4,51.2,免费评估
140,"悉尼科技大学University of Technology, Sydney",Australia,44.3,80.6,10.1,98.3,93.8,68.2,51.2,免费评估
140,查尔姆斯理工大学Chalmers University of Technology,Sweden,30.5,61.4,54.9,96.8,45.2,73.1,51.2,免费评估
140,匹兹堡大学University of Pittsburgh-Pittsburgh Campus,United Sta,44.6,21.9,96.2,15.3,23.6,49.0,51.2,免费评估
144,密歇根州立大学Michigan State University,United Sta,61.9,65.8,18.6,63.8,36.2,54.4,51.1,免费评估
145,奥胡斯大学Aarhus University,Denmark,52.9,45.7,38.0,81.7,17.6,62.7,51.0,免费评估
146,纽卡斯尔大学Newcastle University,United Kin,41.0,73.7,47.7,89.9,84.7,43.4,50.9,免费评估
147,柏林工业大学Technische Universit?t Berlin (TU Berlin),Germany,53.9,77.7,47.6,42,69.3,30.2,50.6,免费评估
148,约克大学The University of York,United Kin,42.0,40.8,56.8,91,66,51.3,50.5,免费评估
149,米兰理工大学Politecnico di Milano,Italy,60.4,84.3,6.3,44.6,54.5,56.9,50.4,免费评估
150,汉阳大学Hanyang University,South Kore,46.8,68.4,77.2,25.4,34.8,30.8,50.3,免费评估
151,巴塞尔大学University of Basel,Switzerlan,30.4,25.0,37.8,100,86.4,91.3,50.0,免费评估
152,印度理工学院Indian Institute of Technology Bombay (IITB),India,54.5,71.2,45.8,3.4,1.6,54.6,49.4,免费评估
153,洛桑大学University of Lausanne,Switzerlan,35.3,23.0,68.4,99.2,69,52.8,49.2,免费评估
154,维也纳大学University of Vienna,Austria,64.4,47.3,26.2,98.3,92.5,17.9,49.0,免费评估
154,卡迪夫大学Cardiff University,United Kin,48.6,38.3,52.5,79.1,69.8,37.9,49.0,免费评估
156,明尼苏达大学双城分校University of Minnesota,United Sta,66.2,26.1,31.9,6.9,18.8,58.2,48.6,免费评估
156,埃默里大学Emory University,United Sta,26.9,11.8,99.7,49.4,45.2,59.1,48.6,免费评估
158,蒙特雷科技大学Tecnológico de Monterrey,Mexico,36.9,88.9,89.5,98.2,18.4,4.6,48.5,免费评估
159,马来西亚博特拉大学Universiti Putra Malaysia (UPM),Malaysia,44.8,44.4,73.2,58.8,82.3,20.9,48.4,免费评估
160,马来西亚国民大学Universiti Kebangsaan Malaysia (UKM),Malaysia,50.9,44.7,87.8,24,38.9,13.1,48.3,免费评估
160,里昂高等师范学校école Normale Supérieure de Lyon,France,35.4,10.4,97.0,59.5,20.3,47.9,48.3,免费评估
162,希伯来大学The Hebrew University of Jerusalem,Israel,39.4,38.5,77.9,71.1,11.6,43.4,48.2,免费评估
163,卑尔根大学University of Bergen,Norway,34.1,13.0,79.5,88.6,10.1,60.8,48.1,免费评估
163,埃克塞特大学University of Exeter,United Kin,38.8,57.2,41.5,92,80.6,49.0,48.1,免费评估
165,巴塞罗那大学Universitat de Barcelona,Spain,71.8,45.5,32.5,5.8,33.8,29.8,47.9,免费评估
165,马来西亚理科大学Universiti Sains Malaysia (USM),Malaysia,49.6,52.5,74.9,37.5,46,17.7,47.9,免费评估
167,鲁汶大学Université catholique de Louvain (UCL),Belgium,51.3,45.5,10.4,89,44.7,68.4,47.7,免费评估
167,佛罗里达大学University of Florida,United Sta,50.9,48.3,74.0,18.7,13,29.6,47.7,免费评估
169,蒂宾根大学Eberhard Karls Universit?t Tübingen,Germany,46.3,25.7,89.4,59.7,32.1,17.8,47.3,免费评估
169,德国弗来堡大学Albert-Ludwigs-Universitaet Freiburg,Germany,53.0,24.4,38.6,64.9,48.3,50.6,47.3,免费评估
171,罗切斯特大学University of Rochester,United Sta,25.0,7.4,100.0,67.3,90.6,42.1,47.2,免费评估
172,巴斯大学University of Bath,United Kin,36.9,63.0,25.6,98.2,90.7,56.0,47.0,免费评估
173,台湾清华大学National Tsing Hua University,Taiwan,47.5,59.6,32.2,24.6,18,65.8,46.8,免费评估
173,滑铁卢大学University of Waterloo,Canada,39.3,76.5,7.6,77.6,84.1,68.5,46.8,免费评估
173,贝尔法斯特女王大学Queen's University Belfast,United Kin,28.9,36.0,43.5,99.5,96.5,64.9,46.8,免费评估
176,奥塔哥大学University of Otago,New Zealan,51.7,41.4,19.6,100,62.9,48.2,46.7,免费评估
177,比萨圣安娜大学Scuola Superiore Sant'Anna Pisa di Studi Universitari e di Perfezionamento,Italy,14.6,8.0,86.2,2.1,52.5,99.3,46.6,免费评估
177,博洛尼亚大学Alma Mater Studiorum - University of Bologna,Italy,74.7,46.3,6.0,14,13.5,46.8,46.6,免费评估
179,凯斯西储大学Case Western Reserve University,United Sta,19.9,17.1,92.0,53.7,74,58.7,46.4,免费评估
179,德累斯顿工业大学Technische Universit?t Dresden,Germany,35.8,69.7,84.6,38.5,37.5,21.3,46.4,免费评估
181,利物浦大学The University of Liverpool,United Kin,42.2,32.9,50.5,86.5,93.4,34.4,46.3,免费评估
182,印度理工学院德里校区Indian Institute of Technology Delhi (IITD),India,46.8,63.0,23.3,3.3,1.5,80.6,46.2,免费评估
183,伊拉斯姆斯大学Erasmus University Rotterdam,Netherland,35.2,53.5,42.6,75.3,68.9,53.7,46.1,免费评估
184,印度科学研究所Indian Institute of Science,India,33.3,16.2,53.2,1.5,1.8,100.0,45.9,免费评估
185,都柏林大学University College Dublin,Ireland,46.0,42.6,31.2,97.6,64.4,42.4,45.6,免费评估
186,特温特大学University of Twente,Netherland,21.1,35.1,39.8,94.4,83,81.2,45.2,免费评估
